handle,dataExtractionTime,rating,maxRating,nRatedContestParticipations,daysSinceRegistered,nSolvedProblems,nLastSolvedProblems,solvedProblemsPonderation,lastSolvedProblemsPonderation,solvedInterestingProblemsPonderation,lastSolvedInterestingProblemsPonderation,constancy,solvedProblemsMean,lastSolvedProblemsMean,performance1stLatestContest,performance2ndLatestContest,performance3rdLatestContest,performance4thLatestContest,ratingChange,futureRating
shadow9236,1711747800.0,2172.0,2201.0,168.0,1526.0,757.0,95.0,8672311.78490069,1530834.6103941188,1633427.136087043,373486.8092858403,0.002151657414559676,451.51387054161165,581.6842105263158,2229.0,2297.0,2303.0,1871.0,134.0,2306.0
dejandenib,1711747800.0,1544.0,1761.0,56.0,5034.0,223.0,71.0,3016877.1847873945,616480.5751225948,645217.6282719027,102036.0938336913,0.002151657414559676,512.5022421524664,363.0422535211268,1319.0,2054.0,1531.0,1365.0,157.0,1701.0
ElizaBest,1711747800.0,1792.0,1847.0,34.0,1301.0,89.0,35.0,1064160.1421600934,560823.5921254993,138917.81756741065,88479.81958202632,0.002151657414559676,452.9438202247191,559.4285714285714,1627.0,2054.0,2108.0,1680.0,249.0,2041.0
17f,1711747800.0,1259.0,1395.0,25.0,533.0,405.0,350.0,8384501.520723567,7840709.217015413,2363492.397819807,2322204.5942295142,0.04635605374991679,720.5061728395061,763.2857142857143,1187.0,1145.0,1380.0,1432.0,93.0,1352.0
azureglow,1711747800.0,2175.0,2175.0,33.0,968.0,229.0,116.0,3695299.8703330853,2128034.5723822406,733350.7802266243,463005.24744942173,0.002263904014822803,583.5152838427948,644.8275862068965,2907.0,1970.0,2140.0,2120.0,-53.0,2122.0
sk.dubey,1711747800.0,1563.0,1718.0,223.0,1121.0,1008.0,161.0,5931055.062173868,1114229.5152402876,733210.589849402,131334.26590218872,0.0025917087537488497,262.9920634920635,305.944099378882,1485.0,1508.0,1685.0,1647.0,-99.0,1464.0
MegrezBunny,1711747800.0,1931.0,1973.0,31.0,1151.0,88.0,22.0,1310005.8295444364,289293.8466164715,299539.8725789111,58163.60546035078,0.003007032652029301,542.8636363636364,514.4545454545455,2060.0,1822.0,1727.0,1992.0,131.0,2062.0
Urtusea,1711747800.0,1434.0,1531.0,29.0,186.0,334.0,334.0,3548667.761639677,3548667.761639677,576222.7941737006,576222.7941737006,0.01839641212192808,433.36526946107784,433.36526946107784,1143.0,1711.0,1411.0,1620.0,188.0,1622.0
varun_05,1711747800.0,1693.0,1695.0,72.0,459.0,235.0,147.0,2333311.4492806625,1696396.771338948,367038.0663735112,295366.70632592164,0.002151657414559676,410.40425531914894,460.0612244897959,1780.0,1766.0,1828.0,1648.0,107.0,1800.0
Grylls,1711747800.0,1210.0,1210.0,28.0,1107.0,116.0,115.0,1292205.360382771,1284503.4774960997,146004.5195373348,146004.5195373348,0.0024516358635026984,483.1034482758621,483.9130434782609,1273.0,1339.0,1082.0,1125.0,-15.0,1195.0
YHSifat,1711747800.0,1291.0,1366.0,62.0,744.0,544.0,113.0,5311241.683819435,1688733.848117452,537815.8587512743,261345.97010967653,0.013662172973388823,436.0220588235294,578.9115044247787,1171.0,1469.0,1282.0,1217.0,55.0,1346.0
Naruto699,1711747800.0,1468.0,1563.0,26.0,573.0,138.0,31.0,1596277.3380864926,272704.1240632364,316313.88428949955,27404.144700083663,0.0025917087537488497,462.4347826086956,393.2903225806452,1468.0,1477.0,1729.0,1263.0,-47.0,1421.0
JoJo,1711747800.0,2106.0,2197.0,62.0,2974.0,342.0,0.0,4868101.210007494,0.0,946993.1721205178,0.0,0.0036738892848117116,552.4795321637426,0.0,1941.0,2053.0,2590.0,1931.0,185.0,2291.0
Barytania_001,1711747800.0,1250.0,1474.0,19.0,1554.0,64.0,16.0,834765.5753764848,271305.8870670465,138781.06231861425,64806.5874775095,0.006085806194501846,531.25,631.25,1373.0,1329.0,1082.0,1450.0,-102.0,1148.0
Forested,1711747800.0,2688.0,2688.0,32.0,1405.0,85.0,37.0,797400.1276416159,413550.30699759524,149588.4363028771,86001.730753259,0.0032052599164108073,381.4117647058824,439.02702702702703,3549.0,2416.0,2435.0,2335.0,187.0,2875.0
RAB,1711747800.0,1468.0,1728.0,228.0,1772.0,2026.0,194.0,28880695.28286484,3986986.983293275,6678557.285790481,922411.34127594,0.0023237409773070945,527.4096742349457,675.8144329896908,1675.0,1183.0,1435.0,1243.0,78.0,1546.0
ArchishmanDas,1711747800.0,1721.0,1823.0,79.0,1196.0,531.0,34.0,9411905.987034388,692776.5636195393,2276829.7209091135,161316.69500616816,0.0036738892848117116,647.738229755179,731.9411764705883,1766.0,1727.0,1654.0,1813.0,-98.0,1623.0
_Rafferty_,1711747800.0,1390.0,1523.0,68.0,809.0,757.0,196.0,10749296.974536004,4118864.089087849,2291967.1154557955,1221640.625356123,0.005421836937532231,544.7424042272127,716.6326530612245,1120.0,1480.0,1351.0,1811.0,4.0,1394.0
El_Medonho,1711747800.0,1779.0,1935.0,45.0,679.0,251.0,99.0,3234367.019082582,1380616.9690058066,596007.4085296731,265098.66731873655,0.0025917087537488497,481.55776892430276,513.929292929293,1488.0,2002.0,2026.0,1665.0,38.0,1817.0
gxy001,1711747800.0,2081.0,2287.0,66.0,1572.0,550.0,32.0,25414910.184733685,669112.3924090203,1641411.0220955764,119170.91704639676,0.002151657414559676,1203.0,678.375,1754.0,1899.0,2461.0,2379.0,143.0,2224.0
Sorace,1711747800.0,1412.0,1502.0,20.0,642.0,169.0,47.0,2123051.128035048,509387.97565981,431088.21054827044,81627.97921456372,0.003007032652029301,494.50887573964496,453.9574468085106,1208.0,1414.0,1619.0,1625.0,215.0,1627.0
1.6,1711747800.0,1234.0,1247.0,19.0,175.0,162.0,162.0,2685325.2177115255,2685325.2177115255,521278.4080345429,521278.4080345429,0.002151657414559676,620.9382716049382,620.9382716049382,1276.0,1148.0,1313.0,1143.0,39.0,1273.0
MahmoudBassem,1711747800.0,1571.0,1629.0,47.0,500.0,399.0,226.0,5979904.30118341,4491388.989488774,1204365.3355990497,1016382.1064603424,0.002151657414559676,530.5037593984962,655.9911504424779,1397.0,1758.0,1697.0,1873.0,-22.0,1549.0
artyomdmithrowe,1711747800.0,1351.0,1423.0,32.0,449.0,118.0,61.0,960242.8930152071,556446.413262913,113396.15645373204,83037.13512698353,0.040280650026977394,378.66101694915255,404.73770491803276,1135.0,1855.0,1240.0,1310.0,47.0,1398.0
Code_like_MESSI,1711747800.0,1351.0,1351.0,10.0,369.0,33.0,27.0,626056.8834869697,577273.0976136457,111201.64411657873,107191.81668887065,0.005421836937532231,636.8787878787879,693.4444444444445,1519.0,1430.0,1112.0,1650.0,134.0,1485.0
menkuen,1711747800.0,1318.0,1322.0,15.0,403.0,92.0,54.0,2064984.1678903785,1571099.4911018102,662284.6708056951,596384.9387904493,0.005524271728019902,753.7391304347826,907.925925925926,1306.0,1601.0,1349.0,1300.0,-3.0,1315.0
Inkyo,1711747800.0,1752.0,1752.0,19.0,1619.0,163.0,159.0,3605753.1854586117,3551517.5550049413,886801.2670954835,865932.1628502123,0.013662172973388823,745.5460122699386,753.0314465408806,1941.0,1599.0,1956.0,1604.0,150.0,1902.0
dongfangyanxu,1711747800.0,1335.0,1370.0,11.0,225.0,54.0,54.0,835200.100758286,835200.100758286,134707.08021246202,134707.08021246202,0.0025917087537488497,577.9629629629629,577.9629629629629,1296.0,1282.0,1394.0,1539.0,244.0,1579.0
ak2_004,1711747800.0,1364.0,1364.0,18.0,445.0,152.0,18.0,2028563.1716819534,303751.27346093464,358016.90696232615,58845.10096041736,0.004629629629629629,531.3947368421053,613.7777777777778,1583.0,1219.0,1609.0,1343.0,-32.0,1332.0
Only_Gift,1711747800.0,1536.0,1813.0,48.0,570.0,224.0,94.0,2948053.5138518745,1450411.7213241053,603762.390098248,309092.560647086,0.002386261088503789,481.4107142857143,540.5957446808511,1251.0,1553.0,1774.0,1258.0,302.0,1838.0
atg_coder27,1711747800.0,1424.0,1602.0,71.0,1535.0,621.0,10.0,9476084.49521133,102018.20149523171,2164101.705151561,18884.999995417922,0.002151657414559676,565.8550724637681,426.0,1193.0,1462.0,1511.0,1584.0,173.0,1597.0
Player008,1711747800.0,1268.0,1439.0,19.0,173.0,171.0,171.0,3142074.4565714668,3142074.4565714668,706348.8520361596,706348.8520361596,0.002151657414559676,670.5964912280701,670.5964912280701,755.0,1532.0,1339.0,1506.0,199.0,1467.0
Mah.D,1711747800.0,1244.0,1306.0,60.0,508.0,659.0,526.0,10366423.640991943,9205820.365924552,2001618.9723692464,1944014.5663155133,0.03442651863295482,606.2276176024279,654.4790874524715,1058.0,1342.0,1489.0,1067.0,120.0,1364.0
Little__prince,1711747800.0,1307.0,1515.0,61.0,808.0,517.0,115.0,8584497.083084626,2757526.6735960017,1956598.6612255431,829405.2976900614,0.005421836937532231,608.4738878143133,787.7826086956521,1184.0,1543.0,1193.0,1385.0,319.0,1626.0
huangxi,1711747800.0,1356.0,1450.0,15.0,267.0,51.0,49.0,703805.2164279883,690638.1540536126,161200.77415530774,161200.77415530774,0.0032052599164108073,534.1960784313726,541.9591836734694,1128.0,1378.0,1858.0,1497.0,174.0,1530.0
tanaygad,1711747800.0,1928.0,1957.0,63.0,514.0,285.0,210.0,5565178.703401988,4690432.102562844,1529259.0086504312,1408494.628453684,0.002151657414559676,674.8070175438596,742.4761904761905,2018.0,1982.0,1765.0,2253.0,131.0,2059.0
plAtEaUpUs,1711747800.0,1963.0,2028.0,106.0,843.0,773.0,127.0,12347654.270144036,3105362.2543025813,2903950.0126423826,1045205.9624900861,0.002151657414559676,590.2988357050452,800.7795275590552,2266.0,1958.0,1260.0,2173.0,105.0,2068.0
Lotrick,1711747800.0,1407.0,1485.0,39.0,291.0,156.0,119.0,1623577.9975715422,1299047.6983911835,257692.0087476474,221431.0351280131,0.002151657414559676,440.43589743589746,454.34453781512605,1554.0,1313.0,1172.0,1482.0,199.0,1606.0
schrodeR,1711747800.0,1271.0,1274.0,16.0,214.0,272.0,272.0,3124295.3070344534,3124295.3070344534,381313.2930617742,381313.2930617742,0.002386261088503789,490.7647058823529,490.7647058823529,1262.0,1670.0,1118.0,1237.0,174.0,1445.0
0mBudsman,1711747800.0,1256.0,1263.0,34.0,470.0,140.0,86.0,2009561.8469550472,1503541.2543506895,381528.35407230176,345955.4748213296,0.002151657414559676,566.1428571428571,649.8139534883721,1283.0,1199.0,1452.0,1422.0,44.0,1300.0
Nishant_2728,1711747800.0,1367.0,1367.0,20.0,347.0,462.0,318.0,4292261.577307303,3627235.7677195347,559144.3150110225,551090.3477527073,0.002151657414559676,410.9220779220779,474.50943396226415,1556.0,1268.0,1595.0,1355.0,-178.0,1189.0
H2J,1711747800.0,1943.0,2104.0,78.0,805.0,427.0,149.0,6160509.663830494,2395398.0684328866,1390165.7248699632,640585.4063680425,0.0025200511757028582,542.9484777517564,580.489932885906,1907.0,1580.0,2047.0,2052.0,-66.0,1877.0
__New_coder,1711747800.0,1218.0,1218.0,12.0,203.0,71.0,71.0,1406786.605349191,1406786.605349191,378330.1367041313,378330.1367041313,0.0022065917115393877,705.943661971831,705.943661971831,1341.0,1246.0,1202.0,1441.0,-110.0,1108.0
zeemanz,1711747800.0,1726.0,1840.0,38.0,356.0,368.0,353.0,7488136.916311854,7152203.438097173,1819729.9985645472,1802184.4361510968,0.002151657414559676,706.0652173913044,707.1444759206798,1894.0,1520.0,1942.0,1562.0,205.0,1931.0
Flysky701,1711747800.0,1519.0,1592.0,49.0,389.0,309.0,224.0,4272299.133776911,3424032.2237923304,961408.7545585076,783199.6864536107,0.0022065917115393877,503.6537216828479,541.7142857142857,1393.0,1786.0,1651.0,1317.0,4.0,1523.0
panwar2001,1711747800.0,1377.0,1377.0,28.0,875.0,401.0,29.0,4782296.501709132,413633.75391513883,796702.5976687466,59818.4833715384,0.0036738892848117116,481.6034912718205,554.0344827586207,1527.0,1279.0,1532.0,1418.0,-27.0,1350.0
iliyian,1711747800.0,1292.0,1345.0,13.0,241.0,191.0,191.0,4084087.100090646,4084087.100090646,842264.1727625142,842264.1727625142,0.013662172973388823,723.1832460732984,723.1832460732984,1133.0,1504.0,1271.0,1284.0,246.0,1538.0
dreamjoker,1711747800.0,1905.0,1905.0,30.0,482.0,195.0,118.0,3459380.87733841,2559146.3023574883,849682.1429900207,681801.8184361171,0.0022065917115393877,627.3076923076923,728.8983050847457,2151.0,1778.0,1961.0,1764.0,40.0,1945.0
ansh737,1711747800.0,1286.0,1335.0,33.0,324.0,239.0,239.0,4411050.833225959,4411050.833225959,1025737.0650402216,1025737.0650402216,0.005421836937532231,670.9037656903765,670.9037656903765,1145.0,1327.0,1422.0,1474.0,116.0,1402.0
master_sam_g,1711747800.0,1507.0,1694.0,52.0,1866.0,225.0,12.0,2438903.2484975695,140615.56346082498,421623.1133648229,33049.23907056276,0.002151657414559676,442.77777777777777,451.3333333333333,1621.0,1253.0,1763.0,1203.0,-35.0,1472.0
SyedSohaib,1711747800.0,1351.0,1436.0,43.0,256.0,335.0,335.0,4901529.894484823,4901529.894484823,986265.6679445315,986265.6679445315,0.002151657414559676,560.3432835820895,560.3432835820895,1096.0,1949.0,1235.0,1278.0,56.0,1407.0
abhinav_mishra,1711747800.0,1202.0,1272.0,54.0,1160.0,142.0,74.0,1545764.095301549,859351.5765497584,107254.77328687996,77139.95345370132,0.002151657414559676,482.50704225352115,502.05405405405406,1124.0,1303.0,1242.0,1550.0,-33.0,1169.0
MardonbekHazratov,1711747800.0,1638.0,1734.0,63.0,451.0,196.0,145.0,1950825.888539521,1612928.604742165,304508.00169072335,281219.3545162784,0.005421836937532231,418.1224489795918,457.17241379310343,1536.0,1486.0,1812.0,2059.0,72.0,1710.0
Borhan,1711747800.0,1410.0,1483.0,20.0,152.0,95.0,95.0,1323216.1921454382,1323216.1921454382,239975.53747259374,239975.53747259374,0.002151657414559676,540.5263157894736,540.5263157894736,1515.0,1243.0,1227.0,1603.0,3.0,1413.0
polar_beer21,1711747800.0,1389.0,1504.0,100.0,878.0,745.0,195.0,9764411.707051877,2899575.8480465477,1686106.5616994807,589128.6557238146,0.002151657414559676,517.1744966442953,567.4102564102565,1314.0,1363.0,1857.0,1373.0,28.0,1417.0
Hagry,1711747800.0,1815.0,2053.0,151.0,1329.0,680.0,130.0,10693969.74471038,3148933.2230115924,2217778.538873631,718507.0224106499,0.01839641212192808,570.5882352941177,772.6923076923077,1800.0,1562.0,1963.0,1719.0,232.0,2047.0
zwu2022015093,1711747800.0,1258.0,1258.0,26.0,254.0,78.0,78.0,1125930.6966316784,1125930.6966316784,201426.0895847589,201426.0895847589,0.002151657414559676,561.2307692307693,561.2307692307693,1258.0,1318.0,1412.0,1318.0,102.0,1360.0
Impostor_Syndrome,1711747800.0,1258.0,1386.0,56.0,1652.0,401.0,118.0,6954706.78486775,2138851.4228533595,1473691.3925288867,504949.3204928262,0.0023237409773070945,643.7456359102245,658.1016949152543,1330.0,1177.0,1340.0,1395.0,261.0,1519.0
TeRa_R-C_1st,1711747800.0,1227.0,1227.0,25.0,875.0,269.0,117.0,4262660.356240116,2530022.3148491597,839634.6648928112,626807.6629538124,0.002151657414559676,594.9330855018587,739.6666666666666,1368.0,1051.0,1322.0,1151.0,18.0,1245.0
Red0,1711747800.0,1430.0,1430.0,19.0,298.0,125.0,113.0,2382355.767604786,1937464.0866909793,417378.20979412406,352530.3642754845,0.0022065917115393877,616.4,571.7699115044247,1487.0,1558.0,1443.0,1269.0,-178.0,1252.0
albatross1811,1711747800.0,1407.0,1510.0,16.0,455.0,96.0,91.0,1347749.315666613,1308561.83843044,325476.2403095399,322583.9355192385,0.0022065917115393877,534.6666666666666,543.5494505494505,1350.0,1246.0,1444.0,1596.0,29.0,1436.0
Machiorpolly,1711747800.0,1206.0,1206.0,17.0,883.0,410.0,171.0,6325390.417230667,3375054.9024356916,1065732.1505632836,732273.8609728846,0.005421836937532231,603.0243902439024,717.9766081871345,1545.0,1177.0,1215.0,1468.0,9.0,1215.0
JAC_Sadi,1711747800.0,1392.0,1422.0,18.0,429.0,116.0,88.0,1732720.178073801,1359501.5334888198,325944.90198836854,287575.33922131395,0.002151657414559676,562.3103448275862,577.3181818181819,1425.0,1258.0,1680.0,1303.0,231.0,1623.0
rum3r,1711747800.0,1261.0,1371.0,95.0,1421.0,1339.0,6.0,28944980.453074187,37449.91166878768,7416320.449981651,0.0,0.006085806194501846,739.5227781926811,339.0,1738.0,1162.0,902.0,1016.0,-68.0,1193.0
pintu_1569,1711747800.0,1200.0,1200.0,18.0,963.0,166.0,166.0,1848662.5399266605,1848662.5399266605,138462.5021308871,138462.5021308871,0.002151657414559676,485.5421686746988,485.5421686746988,1554.0,1085.0,1138.0,813.0,201.0,1401.0
actor-young,1711747800.0,1441.0,1441.0,10.0,1690.0,34.0,31.0,272999.2785513496,211322.97629844354,31020.00051903663,13774.886717003552,0.0025917087537488497,367.8235294117647,333.19354838709677,1510.0,1409.0,1466.0,1445.0,36.0,1477.0
wasd1234,1711747800.0,1594.0,1598.0,31.0,322.0,262.0,258.0,2856307.274117874,2855171.846507559,566498.0149862419,566498.0149862419,0.0025917087537488497,407.9083969465649,413.7519379844961,1582.0,1637.0,1771.0,1880.0,101.0,1695.0
rayhan50001,1711747800.0,1295.0,1416.0,59.0,3073.0,968.0,62.0,19519572.49247162,897398.6020427322,3783560.909868062,183435.49301044553,0.002151657414559676,699.5247933884298,564.6774193548387,1394.0,1367.0,1281.0,1491.0,198.0,1493.0
bhupesh_singh01,1711747800.0,1365.0,1365.0,17.0,697.0,101.0,31.0,1521520.3407417578,362527.3528773851,289753.86365483183,53677.61759838899,0.0025917087537488497,583.5148514851485,486.61290322580646,1497.0,1291.0,1244.0,1522.0,-19.0,1346.0
Bhautiksinh_vala,1711747800.0,1337.0,1447.0,78.0,849.0,502.0,112.0,6295040.224801375,1787458.2376912695,1117743.8107440798,387829.992154328,0.002151657414559676,508.2191235059761,600.5,1127.0,1404.0,1369.0,1583.0,111.0,1448.0
Alex_Wei,1711747800.0,2794.0,2998.0,115.0,1782.0,800.0,57.0,12780827.341040691,929451.0023008351,2342200.6699989345,164110.50421888396,0.0035464783798280154,562.375,590.2105263157895,2779.0,2559.0,2927.0,2458.0,197.0,2991.0
DaVinchi07,1711747800.0,1361.0,1475.0,50.0,585.0,358.0,254.0,5273446.473577347,4617680.9943931475,1136170.7271525362,1112088.2836166257,0.002151657414559676,568.3296089385475,664.5905511811023,1202.0,1231.0,1760.0,1611.0,171.0,1532.0
Kams7,1711747800.0,1264.0,1264.0,24.0,715.0,90.0,34.0,1439869.0692587574,663690.2126209369,325812.4101119011,192548.29395497846,0.02345892598029808,600.4444444444445,688.9411764705883,1345.0,1366.0,1446.0,1287.0,260.0,1524.0
laksh222,1711747800.0,1234.0,1234.0,17.0,347.0,345.0,166.0,4336634.318687562,2847246.373040776,626573.1022452022,592993.366049261,0.002263904014822803,521.3623188405797,645.5180722891566,1423.0,1393.0,956.0,1156.0,60.0,1294.0
theMockingjay,1711747800.0,1213.0,1213.0,11.0,789.0,27.0,21.0,493306.60115330474,410019.62141965405,82400.50849747188,66580.17057440589,0.002151657414559676,653.6666666666666,682.2380952380952,1549.0,855.0,1378.0,974.0,-45.0,1168.0
HV206,1711747800.0,1239.0,1246.0,11.0,437.0,217.0,166.0,2490149.413060372,2087609.9583066215,250204.3033531345,241701.18797733888,0.009309680944792325,495.5622119815668,527.2650602409639,1218.0,1282.0,1261.0,1315.0,-47.0,1192.0
outlander,1711747800.0,1222.0,1379.0,33.0,1039.0,428.0,333.0,15628519.346956454,13576249.583592221,1963128.325042068,1424468.6713339065,0.002151657414559676,1042.9532710280373,1128.1501501501502,1084.0,1226.0,1402.0,1104.0,266.0,1488.0
its_newbie_007,1711747800.0,1227.0,1227.0,81.0,1204.0,713.0,188.0,7486889.017613383,2498894.3284828505,502928.1827480344,323087.8159945714,0.005421836937532231,468.7924263674614,546.936170212766,1227.0,1623.0,1224.0,977.0,-227.0,1000.0
Chyuh,1711747800.0,1642.0,1642.0,14.0,407.0,154.0,116.0,2568839.240482451,2161673.8050269987,554353.6657976452,494375.48420910066,0.0022065917115393877,593.7142857142857,647.6551724137931,1843.0,1806.0,1474.0,1158.0,-81.0,1561.0
yashashokgurav007,1711747800.0,1228.0,1274.0,47.0,451.0,131.0,63.0,1533045.9914688324,748523.1735734289,171224.25996613153,89584.92971583919,0.005421836937532231,501.00763358778624,505.3333333333333,1273.0,1450.0,1278.0,1410.0,-102.0,1126.0
Yugi.Hacker,1711747800.0,2144.0,2163.0,95.0,987.0,706.0,119.0,9623100.101344882,1947592.9157612512,1863733.0032812823,379971.16601484566,0.0022065917115393877,524.1303116147309,608.9411764705883,2258.0,1983.0,2099.0,2832.0,-3.0,2141.0
Sagar_2003,1711747800.0,1424.0,1488.0,16.0,830.0,223.0,171.0,2751594.1582462387,2429215.417485474,561024.1160586281,545974.4221716175,0.0726012066199879,489.00448430493276,540.327485380117,1250.0,1524.0,1408.0,1578.0,178.0,1602.0
ev1sq,1711747800.0,1939.0,1939.0,27.0,605.0,70.0,68.0,803327.0436511879,789563.0873861866,138523.2581318443,137925.0014979488,0.002151657414559676,458.14285714285717,462.47058823529414,2338.0,2214.0,1355.0,1892.0,-39.0,1900.0
avacatocapt,1711747800.0,1283.0,1283.0,20.0,445.0,267.0,264.0,3470127.8715035976,3453195.7978857565,577616.9482268371,577616.9482268371,0.0022065917115393877,528.6104868913858,531.0151515151515,1493.0,1183.0,1196.0,1439.0,24.0,1307.0
aryankesharwani142004,1711747800.0,1664.0,1664.0,66.0,485.0,708.0,431.0,8157118.980924162,5864765.08793903,1214259.7817146357,1053209.6629870438,0.0726012066199879,471.45197740112997,531.8236658932715,1913.0,1662.0,1845.0,1655.0,-58.0,1606.0
picramide,1711747800.0,1908.0,1908.0,43.0,452.0,202.0,132.0,2573225.8905373686,1892759.9348375392,422956.73040855495,354602.162891985,0.002151657414559676,511.3069306930693,557.1515151515151,2355.0,1795.0,1612.0,2110.0,-132.0,1776.0
broshen,1711747800.0,1612.0,1619.0,65.0,543.0,255.0,37.0,3729295.163225483,527490.3271370353,784049.9559630238,113118.52587592714,0.0025917087537488497,552.3137254901961,547.4594594594595,1924.0,1499.0,1559.0,1438.0,112.0,1724.0
themm1,1711747800.0,1546.0,1546.0,34.0,694.0,276.0,121.0,4392501.493653173,2281149.620378708,914528.7164862247,537418.5190531263,0.002151657414559676,552.5507246376811,625.900826446281,1621.0,1512.0,1758.0,1380.0,-16.0,1530.0
shoaibcodez,1711747800.0,1259.0,1316.0,33.0,575.0,781.0,232.0,15378175.616681395,5330954.310430062,3552820.172687144,1175300.7771640113,3.173528482706344,701.3072983354673,773.7586206896551,1250.0,1100.0,1607.0,1402.0,29.0,1288.0
Sunflower233,1711747800.0,2051.0,2051.0,33.0,309.0,72.0,63.0,1172750.646446153,1071528.0064913835,242970.58321170832,223142.10839296042,0.005421836937532231,576.7777777777778,595.031746031746,2114.0,2258.0,1936.0,1996.0,-102.0,1949.0
big_fan,1711747800.0,1330.0,1369.0,15.0,427.0,47.0,14.0,488063.25329230144,151942.39559977967,63404.701417106226,22033.490659680636,0.0025917087537488497,450.8510638297872,462.85714285714283,1213.0,1585.0,1177.0,1424.0,46.0,1376.0
MeetBrahmbhatt,1711747800.0,1879.0,1928.0,158.0,1150.0,1276.0,220.0,17507384.962063346,4128942.854789364,3354761.100147246,894927.0612392259,0.002151657414559676,518.4921630094044,639.1818181818181,1858.0,1862.0,2014.0,2034.0,144.0,2023.0
thiuwunh,1711747800.0,1417.0,1456.0,43.0,733.0,144.0,54.0,1300265.820439271,760802.9268099272,193320.91272453527,137846.53474835068,0.005524271728019902,389.94444444444446,538.5555555555555,1300.0,1678.0,1295.0,1597.0,50.0,1467.0
laurxh,1711747800.0,1941.0,2093.0,24.0,675.0,111.0,6.0,2313225.757015651,82583.53848641468,629625.6691643621,27460.563226428094,0.002151657414559676,709.4504504504505,492.3333333333333,2385.0,1715.0,1681.0,1181.0,28.0,1969.0
Mohamed_Reda,1711747800.0,1846.0,1988.0,96.0,762.0,447.0,216.0,5972743.506459055,3431921.030839248,1187473.1334037108,737852.8865445437,0.002151657414559676,504.11185682326624,564.6481481481482,1822.0,1875.0,1976.0,2023.0,235.0,2081.0
Tomke,1711747800.0,1292.0,1374.0,18.0,803.0,142.0,16.0,3741650.5259214235,557822.1772140895,396476.32542429183,40932.870342957576,0.002151657414559676,803.7746478873239,983.0,1046.0,1683.0,1664.0,1158.0,192.0,1484.0
Onolt_kh,1711747800.0,2303.0,2389.0,23.0,427.0,57.0,39.0,1086454.3376405698,775004.9362748938,197749.35111836175,130778.45148724972,0.0036738892848117116,661.9122807017544,686.7435897435897,2270.0,2377.0,2302.0,1993.0,-130.0,2173.0
